device,s1,s2,s3,s4,sum,sum-squared,time-ms,state
ctrl2_80bpm,0,78,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,663,63,75,0,58
ctrl2_80bpm,0,81,0,656,63,75,0,58
ctrl2_80bpm,0,80,0,649,63,75,0,58
ctrl2_80bpm,0,77,0,661,63,75,0,58
ctrl2_80bpm,0,77,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,656,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,77,0,661,63,75,0,58
ctrl2_80bpm,0,77,0,658,63,75,0,58
ctrl2_80bpm,0,76,0,662,63,75,0,58
ctrl2_80bpm,0,77,0,668,63,75,0,58
ctrl2_80bpm,0,78,0,668,63,75,0,58
ctrl2_80bpm,0,76,0,665,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,77,0,665,63,75,0,58
ctrl2_80bpm,0,76,0,658,63,75,0,58
ctrl2_80bpm,0,78,0,659,63,75,0,58
ctrl2_80bpm,0,76,0,656,63,75,0,58
ctrl2_80bpm,0,77,0,660,63,75,0,58
ctrl2_80bpm,0,78,0,655,63,75,0,58
ctrl2_80bpm,0,80,0,657,63,75,0,58
ctrl2_80bpm,0,77,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,664,63,75,0,58
ctrl2_80bpm,0,79,0,665,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,77,0,664,63,75,0,58
ctrl2_80bpm,0,80,0,663,63,75,0,58
ctrl2_80bpm,0,77,0,660,63,75,0,58
ctrl2_80bpm,0,80,0,665,63,75,0,58
ctrl2_80bpm,0,80,0,663,63,75,0,58
ctrl2_80bpm,0,78,0,664,63,75,0,58
ctrl2_80bpm,0,78,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,77,0,663,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,74,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,76,0,663,63,75,0,58
ctrl2_80bpm,0,76,0,658,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,77,0,661,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,78,0,660,63,75,0,58
ctrl2_80bpm,0,77,0,663,63,75,0,58
ctrl2_80bpm,0,76,0,666,63,75,0,58
ctrl2_80bpm,0,80,0,664,63,75,0,58
ctrl2_80bpm,0,74,0,669,63,75,0,58
ctrl2_80bpm,0,76,0,671,63,75,0,58
ctrl2_80bpm,0,74,0,673,63,75,0,58
ctrl2_80bpm,0,76,0,667,63,75,0,58
ctrl2_80bpm,0,76,0,663,63,75,0,58
ctrl2_80bpm,0,78,0,668,63,75,0,58
ctrl2_80bpm,0,79,0,663,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,656,63,75,0,58
ctrl2_80bpm,0,76,0,657,63,75,0,58
ctrl2_80bpm,0,78,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,80,0,660,63,75,0,58
ctrl2_80bpm,0,76,0,668,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,76,0,665,63,75,0,58
ctrl2_80bpm,0,76,0,665,63,75,0,58
ctrl2_80bpm,0,77,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,660,63,75,0,58
ctrl2_80bpm,0,77,0,657,63,75,0,58
ctrl2_80bpm,0,76,0,659,63,75,0,58
ctrl2_80bpm,0,77,0,662,63,75,0,58
ctrl2_80bpm,0,76,0,663,63,75,0,58
ctrl2_80bpm,0,74,0,664,63,75,0,58
ctrl2_80bpm,0,78,0,664,63,75,0,58
ctrl2_80bpm,0,76,0,666,63,75,0,58
ctrl2_80bpm,0,76,0,661,63,75,0,58
ctrl2_80bpm,0,75,0,667,63,75,0,58
ctrl2_80bpm,0,77,0,668,63,75,0,58
ctrl2_80bpm,164,92,0,661,63,75,0,58
ctrl2_80bpm,467,101,0,664,63,75,0,58
ctrl2_80bpm,666,100,0,660,55,75,0,58
ctrl2_80bpm,779,104,0,663,55,75,0,58
ctrl2_80bpm,807,97,0,660,55,0,0,58
ctrl2_80bpm,767,94,0,660,55,0,0,58
ctrl2_80bpm,710,90,0,658,55,0,0,58
ctrl2_80bpm,664,89,0,665,55,0,0,58
ctrl2_80bpm,629,88,0,666,55,0,0,58
ctrl2_80bpm,610,89,0,668,55,0,0,58
ctrl2_80bpm,607,89,0,671,55,0,0,58
ctrl2_80bpm,607,88,0,667,55,0,0,58
ctrl2_80bpm,613,90,0,663,55,0,0,58
ctrl2_80bpm,616,91,0,665,55,0,0,58
ctrl2_80bpm,619,100,48,659,55,0,0,58
ctrl2_80bpm,623,116,383,658,55,0,0,58
ctrl2_80bpm,628,112,628,658,55,0,0,58
ctrl2_80bpm,628,103,748,653,55,0,0,58
ctrl2_80bpm,620,96,791,646,55,0,0,58
ctrl2_80bpm,625,91,759,649,55,0,0,58
ctrl2_80bpm,626,85,700,651,55,0,0,58
ctrl2_80bpm,629,84,647,658,55,0,0,58
ctrl2_80bpm,628,83,603,661,55,0,0,58
ctrl2_80bpm,628,83,580,660,55,0,0,58
ctrl2_80bpm,627,83,572,658,55,0,0,58
ctrl2_80bpm,623,84,569,662,55,0,0,58
ctrl2_80bpm,621,92,572,661,55,0,0,58
ctrl2_80bpm,658,92,585,663,55,0,0,58
ctrl2_80bpm,620,94,590,660,55,0,0,58
ctrl2_80bpm,617,96,599,657,55,0,0,58
ctrl2_80bpm,618,92,606,657,55,0,0,58
ctrl2_80bpm,622,92,612,657,55,0,0,58
ctrl2_80bpm,623,92,610,657,55,0,0,58
ctrl2_80bpm,624,92,612,660,55,0,0,58
ctrl2_80bpm,627,92,612,656,55,0,0,58
ctrl2_80bpm,628,91,610,659,55,0,0,58
ctrl2_80bpm,629,92,607,655,55,0,0,0
ctrl2_80bpm,633,92,609,660,55,0,0,0
ctrl2_80bpm,636,92,616,659,55,0,0,0
ctrl2_80bpm,639,93,636,656,55,0,0,0
ctrl2_80bpm,639,94,658,662,55,0,0,0
ctrl2_80bpm,656,96,692,660,55,0,0,0
ctrl2_80bpm,659,94,701,659,55,0,0,0
ctrl2_80bpm,657,93,703,659,55,0,0,0
ctrl2_80bpm,652,92,680,662,55,0,0,0
ctrl2_80bpm,639,91,667,667,55,0,0,0
ctrl2_80bpm,639,86,635,660,55,0,0,0
ctrl2_80bpm,634,84,609,665,55,0,0,0
ctrl2_80bpm,633,80,593,658,55,0,0,0
ctrl2_80bpm,628,84,587,663,55,0,0,0
ctrl2_80bpm,627,82,591,661,55,0,0,0
ctrl2_80bpm,632,84,600,652,55,0,0,0
ctrl2_80bpm,635,86,609,659,55,0,0,0
ctrl2_80bpm,636,96,628,663,55,0,0,0
ctrl2_80bpm,639,96,639,662,55,0,0,0
ctrl2_80bpm,637,92,647,660,55,0,0,0
ctrl2_80bpm,633,89,651,659,55,0,0,0
ctrl2_80bpm,631,89,649,664,55,0,0,0
ctrl2_80bpm,635,92,639,661,55,0,0,0
ctrl2_80bpm,637,92,628,664,55,0,0,0
ctrl2_80bpm,636,91,621,660,55,0,0,0
ctrl2_80bpm,636,92,611,660,55,0,0,0
ctrl2_80bpm,636,92,611,659,55,0,0,0
ctrl2_80bpm,639,92,616,664,55,0,0,0
ctrl2_80bpm,639,92,615,659,55,0,0,0
ctrl2_80bpm,639,92,619,659,55,0,0,0
ctrl2_80bpm,639,92,618,661,55,0,0,0
ctrl2_80bpm,639,92,624,654,55,0,0,0
ctrl2_80bpm,639,92,623,657,55,0,0,0
ctrl2_80bpm,639,92,626,653,55,0,0,0
ctrl2_80bpm,639,92,633,655,55,0,0,0
ctrl2_80bpm,639,92,625,661,55,0,0,0
ctrl2_80bpm,639,92,624,660,55,0,0,0
ctrl2_80bpm,639,89,627,661,55,0,0,0
ctrl2_80bpm,639,86,621,660,55,0,0,0
ctrl2_80bpm,639,83,629,658,55,0,0,0
ctrl2_80bpm,650,86,647,660,55,0,0,0
ctrl2_80bpm,657,84,671,664,55,0,0,0
ctrl2_80bpm,663,86,697,666,55,0,0,0
ctrl2_80bpm,661,92,708,660,55,0,0,0
ctrl2_80bpm,667,92,713,668,55,0,0,0
ctrl2_80bpm,662,92,703,668,55,0,0,0
ctrl2_80bpm,652,88,679,667,55,0,0,0
ctrl2_80bpm,639,90,659,662,55,0,0,0
ctrl2_80bpm,639,89,636,661,55,0,0,0
ctrl2_80bpm,636,92,620,659,55,0,0,0
ctrl2_80bpm,634,92,608,660,55,0,0,0
ctrl2_80bpm,637,92,612,658,55,0,0,0
ctrl2_80bpm,639,92,618,659,55,0,0,0
ctrl2_80bpm,639,92,628,656,55,0,0,0
ctrl2_80bpm,649,92,639,663,55,0,0,0
ctrl2_80bpm,647,92,651,659,55,0,0,0
ctrl2_80bpm,651,92,657,656,55,0,0,0
ctrl2_80bpm,650,92,662,659,55,0,0,0
ctrl2_80bpm,649,92,662,660,55,0,0,0
ctrl2_80bpm,648,92,649,656,55,0,0,0
ctrl2_80bpm,639,92,633,656,55,0,0,0
ctrl2_80bpm,639,92,631,660,55,0,0,0
ctrl2_80bpm,639,88,625,659,55,0,0,0
ctrl2_80bpm,639,88,623,659,55,0,0,0
ctrl2_80bpm,639,87,620,662,55,0,0,0
ctrl2_80bpm,639,86,620,663,55,0,0,0
ctrl2_80bpm,646,84,618,662,55,0,0,0
ctrl2_80bpm,639,82,625,660,55,0,0,0
ctrl2_80bpm,646,84,630,660,55,0,0,0
ctrl2_80bpm,639,85,633,663,55,0,0,0
ctrl2_80bpm,637,92,636,660,55,0,0,0
ctrl2_80bpm,639,93,639,664,55,0,0,0
ctrl2_80bpm,639,96,639,660,55,0,0,0
ctrl2_80bpm,636,89,637,659,55,0,0,0
ctrl2_80bpm,636,92,635,660,55,0,0,0
ctrl2_80bpm,638,93,639,660,55,0,0,0
ctrl2_80bpm,639,92,639,663,55,0,0,0
ctrl2_80bpm,652,93,664,663,55,0,0,0
ctrl2_80bpm,660,96,692,664,55,0,0,0
ctrl2_80bpm,668,96,716,664,55,0,0,0
ctrl2_80bpm,673,93,727,667,55,0,0,0
ctrl2_80bpm,671,92,720,668,55,0,0,0
ctrl2_80bpm,668,92,699,667,55,0,0,0
ctrl2_80bpm,660,91,684,662,55,0,0,0
ctrl2_80bpm,656,90,660,662,55,0,0,0
ctrl2_80bpm,652,90,639,655,55,0,0,0
ctrl2_80bpm,639,92,629,653,55,0,0,0
ctrl2_80bpm,636,92,617,655,55,0,0,0
ctrl2_80bpm,639,92,621,656,55,0,0,0
ctrl2_80bpm,647,92,621,660,55,0,0,0
ctrl2_80bpm,651,88,635,661,55,0,0,0
ctrl2_80bpm,653,88,639,666,55,0,0,0
ctrl2_80bpm,651,85,649,660,55,0,0,0
ctrl2_80bpm,651,84,658,659,55,0,0,0
ctrl2_80bpm,652,83,661,661,55,0,0,0
ctrl2_80bpm,649,84,652,663,55,0,0,0
ctrl2_80bpm,649,88,651,665,55,0,0,0
ctrl2_80bpm,651,91,639,665,55,0,0,0
ctrl2_80bpm,645,96,634,658,55,0,0,0
ctrl2_80bpm,639,92,637,662,55,0,0,0
ctrl2_80bpm,638,90,636,662,55,0,0,0
ctrl2_80bpm,639,91,634,656,55,0,0,0
ctrl2_80bpm,639,92,635,662,55,0,0,0
ctrl2_80bpm,639,91,635,662,55,0,0,0
ctrl2_80bpm,639,92,639,660,55,0,0,0
ctrl2_80bpm,648,92,639,662,55,0,0,0
ctrl2_80bpm,648,92,639,662,55,0,0,0
ctrl2_80bpm,649,92,639,660,55,0,0,0
ctrl2_80bpm,652,92,638,661,55,0,0,0
ctrl2_80bpm,652,93,646,656,55,0,0,0
ctrl2_80bpm,647,92,636,657,55,0,0,0
ctrl2_80bpm,649,92,639,657,55,0,0,0
ctrl2_80bpm,647,92,639,658,55,0,0,0
ctrl2_80bpm,651,92,647,657,55,0,0,0
ctrl2_80bpm,659,92,665,659,55,0,0,0
ctrl2_80bpm,663,96,689,665,55,0,0,0
ctrl2_80bpm,672,93,722,663,55,0,0,0
ctrl2_80bpm,676,90,735,665,55,0,0,0
ctrl2_80bpm,677,88,728,671,55,0,0,0
ctrl2_80bpm,679,84,710,668,55,0,0,0
ctrl2_80bpm,665,80,692,671,55,0,0,0
ctrl2_80bpm,658,81,664,667,55,0,0,0
ctrl2_80bpm,651,84,639,665,55,0,0,0
ctrl2_80bpm,644,88,631,661,55,0,0,0
ctrl2_80bpm,639,92,627,663,55,0,0,0
ctrl2_80bpm,639,91,624,663,55,0,0,0
ctrl2_80bpm,639,90,630,659,55,0,0,0
ctrl2_80bpm,639,92,639,662,55,0,0,0
ctrl2_80bpm,639,94,651,660,55,0,0,0
ctrl2_80bpm,653,93,661,660,55,0,0,0
ctrl2_80bpm,658,94,668,665,55,0,0,0
ctrl2_80bpm,653,92,667,665,55,0,0,0
ctrl2_80bpm,658,92,664,659,55,0,0,0
ctrl2_80bpm,656,90,653,663,55,0,0,0
ctrl2_80bpm,653,92,647,658,55,0,0,0
ctrl2_80bpm,650,92,639,658,55,0,0,0
ctrl2_80bpm,650,92,635,659,55,0,0,0
ctrl2_80bpm,649,92,628,655,55,0,0,0
ctrl2_80bpm,650,92,636,652,55,0,0,0
ctrl2_80bpm,647,92,636,655,55,0,0,0
ctrl2_80bpm,650,92,635,657,55,0,0,0
ctrl2_80bpm,653,92,639,656,55,0,0,0
ctrl2_80bpm,651,91,639,659,55,0,0,0
ctrl2_80bpm,649,88,639,661,55,0,0,0
ctrl2_80bpm,651,84,646,660,0,0,0,0
ctrl2_80bpm,649,84,639,662,0,0,0,0
ctrl2_80bpm,653,80,639,665,0,0,0,0
ctrl2_80bpm,649,80,639,663,0,0,0,0
ctrl2_80bpm,652,84,647,664,0,0,0,0
ctrl2_80bpm,651,89,647,664,0,0,0,0
ctrl2_80bpm,652,89,657,661,0,0,0,0
ctrl2_80bpm,657,96,673,661,0,0,0,0
ctrl2_80bpm,664,93,703,667,0,0,0,0
ctrl2_80bpm,671,89,727,667,0,0,0,0
ctrl2_80bpm,676,88,742,668,0,0,0,0
ctrl2_80bpm,679,90,735,673,0,0,0,0
ctrl2_80bpm,677,88,712,668,0,0,0,0
ctrl2_80bpm,670,88,686,667,0,0,0,0
ctrl2_80bpm,659,86,659,668,0,0,0,0
